variable,model,horizon,n,rmse,mae,rmse_naive,dm_stat,dm_pvalue
gdp_growth,arima,1,16,6.02676242986502,3.763165164200031,6.103734031312308,-0.052161878574212575,0.9590880332784883
gdp_growth,arima,2,15,6.264519521804485,4.6895951448252955,6.2343655170353935,0.020061571075014613,0.9842773738728741
gdp_growth,arima,3,14,6.1410070840567785,4.949017192858101,5.715121271054285,1.8726729594521876,0.08377431202695962
gdp_growth,arima,4,13,6.232737325810825,5.062091987005884,5.250747492573723,0.8752399880919692,0.3986234440553196
gdp_growth,arima,5,12,6.875150907434687,5.756666666666667,5.419433542047238,0.7514728562976536,0.4681415366035948
gdp_growth,ar1,1,16,5.353016510318131,3.24151893046234,6.103734031312308,-0.6383265215944882,0.532886443587337
gdp_growth,ar1,2,15,5.83996580752869,4.29970949012717,6.2343655170353935,-0.5250779856331781,0.607744762720241
gdp_growth,ar1,3,14,5.396666276041219,4.0483396439053365,5.715121271054285,-0.7369284306436196,0.4742563798486894
gdp_growth,ar1,4,13,4.703444340597444,3.8510778818631115,5.250747492573723,-0.5560935771168392,0.5883660870859169
gdp_growth,ar1,5,12,4.816883696261246,3.777535334146501,5.419433542047238,-0.380486072179698,0.7108295966767826
gdp_growth,bvar,1,16,5.6609251611801925,3.7396602356238677,6.103734031312308,-0.5284560342642236,0.6049142730426644
gdp_growth,bvar,2,15,6.867034637424508,5.355737068977944,6.2343655170353935,0.7247345350057529,0.480552950233204
gdp_growth,bvar,3,14,7.311431818065765,5.650907461012087,5.715121271054285,0.8370041763408568,0.4177118145701808
gdp_growth,bvar,4,13,7.410848563348862,5.5763296009548595,5.250747492573723,0.625235888053511,0.5435233772727668
gdp_growth,bvar,5,12,8.718152257745373,6.17372861350141,5.419433542047238,0.6493653054139555,0.5294280077454028
hicp_inflation,arima,1,16,2.947536499091283,2.0018975666395886,3.183703621570325,-0.7323778201574526,0.47522704633029855
hicp_inflation,arima,2,15,3.8074350164268864,2.751506834460675,3.43605781868311,0.8069953395899947,0.4331658061044088
hicp_inflation,arima,3,14,3.9665861442172443,3.0941643360062265,3.6027816634214345,0.6891662370210343,0.5028343603741123
hicp_inflation,arima,4,13,3.6830693638750116,3.025781363109696,3.7401655660596713,-0.2597323070515235,0.799472836066391
hicp_inflation,arima,5,12,3.5546701961543428,2.814684429748814,3.6667651501925604,-0.3143253287631097,0.7591551269204049
hicp_inflation,ar1,1,16,2.744155402948757,1.9146661149849562,3.183703621570325,-1.7328542164546197,0.10362438580236266
hicp_inflation,ar1,2,15,3.4868585460616135,2.514748056385774,3.43605781868311,0.46080679365569455,0.6520140793707678
hicp_inflation,ar1,3,14,3.585085609911525,2.9011110107058387,3.6027816634214345,-0.07322984835378518,0.942737968193643
hicp_inflation,ar1,4,13,3.5606765461362313,2.9764661549592355,3.7401655660596713,-0.3899819619175764,0.7033834109385779
hicp_inflation,ar1,5,12,3.440034931292541,2.962597417391809,3.6667651501925604,-0.3679586450455759,0.7198864558564266
hicp_inflation,anchored,1,16,2.6245085155963235,1.7319367153923764,3.183703621570325,-1.9408047090724125,0.07131379779883207
hicp_inflation,anchored,2,15,3.2262085754741476,2.2495537518657955,3.43605781868311,-0.6784859362550064,0.5085242784645483
hicp_inflation,anchored,3,14,3.2462668491062043,2.42211015022472,3.6027816634214345,-1.9621687822422396,0.07151192103000237
hicp_inflation,anchored,4,13,3.2108586449030856,2.4849292716285376,3.7401655660596713,-3.0769316166839458,0.009592448648641172
hicp_inflation,anchored,5,12,3.070270368867547,2.2849667866023187,3.6667651501925604,-3.5961703734406654,0.004197993488376683
hicp_inflation,bvar,1,16,2.387558665250313,1.5738883356910587,3.183703621570325,-1.98063667215445,0.06627565085440157
hicp_inflation,bvar,2,15,2.928343940732167,1.9866197044185876,3.43605781868311,-1.5398692961092004,0.14588540659351446
hicp_inflation,bvar,3,14,3.095483349307396,2.2045307582964613,3.6027816634214345,-1.693776321250654,0.1141164062162272
hicp_inflation,bvar,4,13,3.271171696543944,2.431773185670689,3.7401655660596713,-1.646945819218671,0.12548665264542969
hicp_inflation,bvar,5,12,3.245413886946345,2.49709964284122,3.6667651501925604,-1.5582152594012384,0.14746977367322067
unemployment_rate,arima,1,16,2.0078781602376443,1.532032306252182,2.8012274095474647,-1.448205088182477,0.16813929820521434
unemployment_rate,arima,2,15,4.964115008297506,3.4547277181762666,5.355806817526811,-0.6450100215631206,0.5293495804688719
unemployment_rate,arima,3,14,8.011573614703694,5.985745439481478,7.415283445117157,0.5431521816729152,0.5962157541127107
unemployment_rate,arima,4,13,10.404925640451768,8.247949888329348,8.647809860572526,0.7158961910641609,0.4877530347129231
unemployment_rate,arima,5,12,12.821388507060044,10.574228073920837,9.34955435658121,0.8437754376089225,0.4167670126962775
unemployment_rate,bvar,1,16,3.3942329629208605,2.4434952593723334,2.8012274095474647,1.36024891768933,0.19384404228038665
unemployment_rate,bvar,2,15,6.421398936745177,4.939328087135356,5.355806817526811,1.2475644289589765,0.2326560556111521
unemployment_rate,bvar,3,14,8.78904164142845,7.106544305444912,7.415283445117157,0.8801649591679921,0.39475011681057315
unemployment_rate,bvar,4,13,10.302185546798958,8.50743088393183,8.647809860572526,0.6908030749058807,0.5028334205555978
unemployment_rate,bvar,5,12,11.770078128475474,9.586555848873916,9.34955435658121,0.6898070943681354,0.5046081524169401
investment_growth,arima,1,16,11.114568911705307,8.439123538992593,14.355903337129295,-1.6114164301603537,0.12792643623082234
investment_growth,arima,2,15,14.760681319058492,13.037843907591347,14.893843233587047,-0.055633577459389724,0.9564198840135911
investment_growth,arima,3,14,15.427104840486056,13.602332584175544,14.68417726913662,0.2121104254560376,0.8353103515039588
